MM/YY,NINO1+2,NINO2,NINO3.4,NINO4
Jun 2019,73.67°F,80.73°F,82.96°F,85.15°F
Jul 2019,70.23°F,78.67°F,81.90°F,85.12°F
Aug 2019,68.70°F,77.20°F,80.69°F,84.76°F
Sep 2019,67.75°F,76.64°F,80.15°F,84.65°F
Oct 2019,67.89°F,77.45°F,81.10°F,85.15°F
Nov 2019,70.68°F,78.03°F,81.10°F,84.92°F
Dec 2019,73.60°F,78.01°F,80.74°F,84.72°F
Jan 2020,76.08°F,78.60°F,80.74°F,84.49°F
Feb 2020,79.23°F,79.66°F,80.76°F,84.16°F
Mar 2020,80.67°F,81.21°F,81.86°F,84.11°F
Apr 2020,78.82°F,82.33°F,82.80°F,84.27°F
May 2020,75.79°F,80.74°F,81.81°F,83.89°F
Jun 2020,72.16°F,78.93°F,81.39°F,84.18°F
Jul 2020,69.49°F,77.81°F,80.87°F,83.89°F
Aug 2020,68.31°F,76.62°F,79.48°F,83.05°F
Sep 2020,67.68°F,75.58°F,79.02°F,82.85°F
Oct 2020,68.22°F,75.54°F,78.15°F,82.35°F
Nov 2020,69.71°F,75.51°F,78.06°F,82.36°F
Dec 2020,71.56°F,76.21°F,78.19°F,81.68°F
Jan 2021,74.80°F,77.29°F,78.21°F,81.00°F
Feb 2021,77.92°F,78.21°F,78.57°F,81.01°F
Mar 2021,79.12°F,80.04°F,80.04°F,82.06°F
Apr 2021,76.28°F,80.26°F,81.03°F,82.99°F
May 2021,74.80°F,80.17°F,81.61°F,83.71°F
Jun 2021,73.62°F,79.79°F,81.81°F,83.98°F
Jul 2021,71.74°F,78.39°F,80.80°F,83.59°F
Aug 2021,69.51°F,77.04°F,79.92°F,83.52°F
Sep 2021,69.37°F,76.71°F,79.68°F,82.85°F
Oct 2021,69.04°F,76.15°F,78.80°F,82.60°F
Nov 2021,69.46°F,75.97°F,78.75°F,82.38°F
Dec 2021,70.36°F,75.31°F,78.08°F,81.82°F
Jan 2022,74.88°F,76.10°F,78.31°F,82.40°F
Feb 2022,76.39°F,77.58°F,78.84°F,82.17°F
Mar 2022,78.71°F,79.63°F,79.41°F,81.64°F
Apr 2022,75.76°F,80.02°F,80.33°F,82.02°F
May 2022,73.76°F,79.34°F,80.29°F,82.27°F
Jun 2022,71.19°F,78.84°F,80.65°F,82.89°F
Jul 2022,69.21°F,77.92°F,80.02°F,82.22°F
Aug 2022,68.52°F,76.44°F,78.66°F,81.97°F
Sep 2022,67.03°F,75.58°F,78.49°F,81.81°F
Oct 2022,66.31°F,75.51°F,78.66°F,81.68°F
Nov 2022,68.49°F,75.76°F,78.60°F,81.99°F
Dec 2022,72.57°F,76.06°F,78.46°F,81.88°F
Jan 2023,75.69°F,77.31°F,78.58°F,81.72°F
Feb 2023,80.24°F,79.25°F,79.32°F,81.64°F
Mar 2023,82.62°F,81.54°F,81.01°F,82.56°F
Apr 2023,82.72°F,82.44°F,82.38°F,83.86°F
May 2023,79.93°F,82.60°F,83.03°F,84.42°F
Jun 2023,78.46°F,82.13°F,83.46°F,85.06°F
Jul 2023,77.09°F,81.45°F,83.07°F,85.10°F
Aug 2023,75.49°F,80.91°F,82.76°F,85.37°F
Sep 2023,74.12°F,80.74°F,82.92°F,85.59°F
Oct 2023,74.01°F,80.76°F,83.05°F,85.87°F
Nov 2023,74.93°F,81.10°F,83.70°F,86.22°F
Dec 2023,75.65°F,81.19°F,83.55°F,85.71°F
Jan 2024,77.63°F,81.59°F,83.01°F,85.41°F
Feb 2024,80.64°F,82.13°F,82.87°F,84.78°F
Mar 2024,80.38°F,82.76°F,83.25°F,84.47°F
