Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2024 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Central Severe Weather (April 2023)","Severe Storm",20230419,20230420,3049.0,1
"Southern Severe Weather (April 2023)","Severe Storm",20230425,20230427,1346.4,0
"Central Severe Weather (May 2023)","Severe Storm",20230506,20230508,2179.8,1
"Central and Eastern Tornadoes and Hail Storms (May 2023)","Severe Storm",20230510,20230512,3494.4,1
"Texas Hail Storms (May 2023)","Severe Storm",20230518,20230519,1657.5,0
"Typhoon Mawar (May 2023)","Tropical Cyclone",20230524,20230525,4335.0,2
"Southern Severe Weather (June 2023)","Severe Storm",20230611,20230614,4112.5,0
"Central and Southern Severe Weather (June 2023)","Severe Storm",20230615,20230618,3843.3,5
"Rockies Hail Storms and Central and Eastern Severe Weather (June 2023)","Severe Storm",20230621,20230626,5348.9,8
"Central Severe Weather (June 2023)","Severe Storm",20230628,20230702,1957.3,3
"Northeastern Flooding and North Central Severe Weather (July 2023)","Flooding",20230709,20230715,2208.3,10
"North Central and Southeastern Severe Weather (July 2023)","Severe Storm",20230719,20230721,1868.7,1
"North Central and Eastern Severe Weather (July 2023)","Severe Storm",20230728,20230729,1511.6,2
"Hawaii Firestorm (August 2023)","Wildfire",20230808,20230808,5610.0,100
"Northeastern and Eastern Severe Weather (August 2023)","Severe Storm",20230805,20230808,1663.6,4
"Minnesota Hail Storms (August 2023)","Severe Storm",20230811,20230811,1810.5,0
"Hurricane Idalia (August 2023)","Tropical Cyclone",20230829,20230831,3525.1,5
"Southern Hail Storms (September 2023)","Severe Storm",20230923,20230924,1677.9,0
"Southern/Midwestern Drought and Heatwave (Spring-Fall 2023)","Drought",20230401,20230930,14645.2,247
"East Coast Storm and Flooding (December 2023)","Flooding",20231216,20231218,1289.0,5
"Southern Tornado Outbreak and East Coast Storm (January 2024)","Severe Storm",20240108,20240110,1764.7,3
"Central and Southern Severe Weather (March 2024)","Severe Storm",20240313,20240315,4092.0,3
