Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Month,Year,Date,Total CPI-Adjusted Cost (Billions of Dollars)
Plains Tornadoes and Central Severe Weather,Severe Storm,2016-05-08,2016-05-11,2218.2,2,May,2016,2016-05-09,2.2182
Rockies/Central Tornadoes and Severe Weather,Severe Storm,2016-05-21,2016-05-26,1478.7,0,May,2016,2016-05-23,1.4787000000000001
West Virginia Flooding and Ohio Valley Tornadoes,Flooding,2016-06-22,2016-06-24,1269.2,23,June,2016,2016-06-23,1.2692
Rockies and Northeast Severe Weather,Severe Storm,2016-07-28,2016-07-30,1890.7,0,July,2016,2016-07-29,1.8907
Louisiana Flooding,Flooding,2016-08-12,2016-08-15,13100.0,13,August,2016,2016-08-13,13.1
Hurricane Matthew,Tropical Cyclone,2016-10-08,2016-10-12,12800.0,49,October,2016,2016-10-10,12.8
West/Northeast/Southeast Drought,Drought,2016-01-01,2016-12-31,4511.2,0,,,2016-07-01,4.5112
Western/Southeast Wildfires,Wildfire,2016-06-01,2016-12-31,3089.8,21,August,2016,2016-09-15,3.0898000000000003
Southern Tornado Outbreak and Western Storms,Severe Storm,2017-01-20,2017-01-22,1414.4,24,January,2017,2017-01-21,1.4144
California Flooding,Flooding,2017-02-08,2017-02-22,1920.0,5,February,2017,2017-02-15,1.92
Central/Southeast Tornado Outbreak,Severe Storm,2017-02-28,2017-03-01,2293.7,6,March,2017,2017-02-28,2.2937
Midwest Tornado Outbreak,Severe Storm,2017-03-06,2017-03-08,2763.7,2,March,2017,2017-03-07,2.7636999999999996
Southeast Freeze,Freeze,2017-03-14,2017-03-16,1280.0,0,March,2017,2017-03-15,1.28
South/Southeast Severe Weather,Severe Storm,2017-03-26,2017-03-28,3422.7,0,March,2017,2017-03-27,3.4227
Southeast Severe Weather and Tornadoes,Severe Storm,2017-04-04,2017-04-06,1239.7,1,April,2017,2017-04-05,1.2397
South and Southeast Severe Weather,Severe Storm,2017-04-20,2017-04-22,1134.2,0,April,2017,2017-04-21,1.1342
Missouri and Arkansas Flooding and Central Severe Weather,Flooding,2017-04-25,2017-05-07,2123.5,20,May,2017,2017-05-01,2.1235
Colorado Hail Storm and Central Severe Weather,Severe Storm,2017-05-08,2017-05-11,4254.5,0,May,2017,2017-05-09,4.2545
North Central Severe Weather and Tornadoes,Severe Storm,2017-05-15,2017-05-18,1195.2,1,May,2017,2017-05-16,1.1952
Minnesota Hail Storm and Upper Midwest Severe Weather,Severe Storm,2017-06-09,2017-06-11,2984.5,0,June,2017,2017-06-10,2.9845
Midwest Severe Weather,Severe Storm,2017-06-12,2017-06-16,1916.6,0,June,2017,2017-06-14,1.9165999999999999
Midwest Severe Weather,Severe Storm,2017-06-27,2017-06-29,1809.8,0,June,2017,2017-06-28,1.8097999999999999
Hurricane Harvey,Tropical Cyclone,2017-08-25,2017-08-31,157500.0,89,August,2017,2017-08-28,157.5
Hurricane Irma,Tropical Cyclone,2017-09-06,2017-09-12,63000.0,97,September,2017,2017-09-09,63.0
Hurricane Maria,Tropical Cyclone,2017-09-19,2017-09-21,113400.0,2981,September,2017,2017-09-20,113.4
"Western Wildfires, California Firestorm",Wildfire,2017-06-01,2017-12-31,22866.4,54,August,2017,2017-09-15,22.866400000000002
"North Dakota, South Dakota and Montana Drought",Drought,2017-03-01,2017-12-31,3200.0,0,July,2017,2017-07-31,3.2
Central and Eastern Winter Storm,Winter Storm,2018-01-03,2018-01-05,1303.9,22,January,2018,2018-01-04,1.3039
Northeast Winter Storm,Winter Storm,2018-03-01,2018-03-03,2742.7,9,March,2018,2018-03-02,2.7426999999999997
Southeastern Tornadoes and Severe Weather,Severe Storm,2018-03-18,2018-03-21,1815.1,0,March,2018,2018-03-19,1.8151
Southern and Eastern Tornadoes and Severe Weather,Severe Storm,2018-04-13,2018-04-16,1634.3,3,April,2018,2018-04-14,1.6342999999999999
Central and Northeast Severe Weather,Severe Storm,2018-05-01,2018-05-04,1723.7,0,May,2018,2018-05-02,1.7237
Central and Eastern Severe Weather,Severe Storm,2018-05-13,2018-05-15,1698.8,5,May,2018,2018-05-14,1.6987999999999999
Texas Hail Storm,Severe Storm,2018-06-06,2018-06-06,1599.0,0,June,2018,2018-06-06,1.599
Colorado Hail Storm,Severe Storm,2018-06-13,2018-06-13,1174.7,0,June,2018,2018-06-13,1.1747
Colorado Hail Storm,Severe Storm,2018-06-18,2018-06-19,2734.3,0,June,2018,2018-06-18,2.7343
Central and Eastern Tornadoes and Severe Weather,Severe Storm,2018-07-19,2018-07-22,1949.8,0,July,2018,2018-07-20,1.9498
Mountain West Severe Weather,Severe Storm,2018-07-26,2018-07-29,1046.7,0,July,2018,2018-07-27,1.0467
Rockies and Plains Hail Storms,Severe Storm,2018-08-06,2018-08-07,1260.9,0,August,2018,2018-08-06,1.2609000000000001
Hurricane Florence,Tropical Cyclone,2018-09-13,2018-09-16,29520.0,53,September,2018,2018-09-14,29.52
Hurricane Michael,Tropical Cyclone,2018-10-10,2018-10-11,30719.3,49,October,2018,2018-10-10,30.7193
Southwest/Southern Plains Drought,Drought,2018-06-01,2018-12-30,3737.6,0,August,2018,2018-09-15,3.7376
"Western Wildfires, California Firestorm",Wildfire,2018-06-01,2018-12-31,29520.0,106,August,2018,2018-09-15,29.52
"Southeast, Ohio Valley and Northeast Severe Weather",Severe Storm,2019-02-23,2019-02-25,1522.2,2,February,2019,2019-02-24,1.5222
Texas Hail Storm,Severe Storm,2019-03-22,2019-03-24,1872.7,0,March,2019,2019-03-23,1.8727
Missouri River and North Central Flooding,Flooding,2019-03-14,2019-03-31,13194.3,3,March,2019,2019-03-22,13.1943
Southern and Eastern Tornadoes and Severe Weather,Severe Storm,2019-04-13,2019-04-14,1515.0,7,April,2019,2019-04-13,1.515
South and Southeast Severe Weather,Severe Storm,2019-05-07,2019-05-13,1832.1,0,May,2019,2019-05-10,1.8320999999999998
Central Severe Weather,Severe Storm,2019-05-16,2019-05-18,1177.4,0,May,2019,2019-05-17,1.1774
"Rockies, Central and Northeast Tornadoes and Severe Weather",Severe Storm,2019-05-26,2019-05-29,5563.6,3,May,2019,2019-05-27,5.5636
Arkansas River Flooding,Flooding,2019-05-20,2019-06-14,3660.3,5,June,2019,2019-06-01,3.6603000000000003
Colorado Hail Storms,Severe Storm,2019-07-04,2019-07-05,1219.7,0,July,2019,2019-07-04,1.2197
"Mississippi River, Midwest and Southern Flooding",Flooding,2019-03-15,2019-07-31,7526.2,4,July,2019,2019-05-23,7.5262
Hurricane Dorian,Tropical Cyclone,2019-08-28,2019-09-06,1948.1,10,September,2019,2019-09-01,1.9481
Tropical Storm Imelda,Tropical Cyclone,2019-09-17,2019-09-21,6050.0,5,September,2019,2019-09-19,6.05
Texas Tornadoes and Central Severe Weather,Severe Storm,2019-10-20,2019-10-20,2078.8,2,October,2019,2019-10-20,2.0788
California and Alaska Wildfires,Wildfire,2019-06-01,2019-11-30,5445.0,3,August,2019,2019-08-31,5.445
Southeast Tornadoes and Northern Storms and Flooding,Severe Storm,2020-01-10,2020-01-12,1378.8,10,January,2020,2020-01-11,1.3788
"South, East and Northeast Severe Weather",Severe Storm,2020-02-05,2020-02-07,1507.2,3,February,2020,2020-02-06,1.5072
Tennessee Tornadoes and Southeast Severe Weather,Severe Storm,2020-03-02,2020-03-04,2803.2,25,March,2020,2020-03-03,2.8032
Midwest and Ohio Valley Severe Weather,Severe Storm,2020-03-27,2020-03-28,3069.6,0,March,2020,2020-03-27,3.0696
North Central and Ohio Valley Hail Storms and Severe Weather,Severe Storm,2020-04-07,2020-04-08,3486.3,0,April,2020,2020-04-07,3.4863000000000004
Southeast and Eastern Tornado Outbreak,Severe Storm,2020-04-12,2020-04-13,4167.5,35,April,2020,2020-04-12,4.1675
Southern Severe Weather,Severe Storm,2020-04-21,2020-04-23,1633.7,3,April,2020,2020-04-22,1.6337000000000002
"Central, Southern and Eastern Severe Weather",Severe Storm,2020-04-27,2020-04-30,1242.8,1,April,2020,2020-04-28,1.2428
Central and Eastern Severe Weather,Severe Storm,2020-05-03,2020-05-05,2556.8,2,May,2020,2020-05-04,2.5568
"South, Central and Eastern Severe Weather",Severe Storm,2020-05-20,2020-05-23,1916.7,2,May,2020,2020-05-21,1.9167
South Texas Hail Storms,Severe Storm,2020-05-27,2020-05-27,1694.0,0,May,2020,2020-05-27,1.694
Central Severe Weather,Severe Storm,2020-07-10,2020-07-11,1435.2,0,July,2020,2020-07-10,1.4352
Hurricane Hanna,Tropical Cyclone,2020-07-25,2020-07-26,1279.3,0,July,2020,2020-07-25,1.2792999999999999
Hurricane Isaias,Tropical Cyclone,2020-08-03,2020-08-04,5660.9,16,August,2020,2020-08-03,5.6609
Central Severe Weather - Derecho,Severe Storm,2020-08-10,2020-08-10,13232.4,4,August,2020,2020-08-10,13.2324
Hurricane Laura,Tropical Cyclone,2020-08-27,2020-08-28,27626.0,42,August,2020,2020-08-27,27.626
Hurricane Sally,Tropical Cyclone,2020-09-15,2020-09-17,8656.1,5,September,2020,2020-09-16,8.6561
Hurricane Delta,Tropical Cyclone,2020-10-09,2020-10-11,3412.0,5,October,2020,2020-10-10,3.412
Hurricane Zeta,Tropical Cyclone,2020-10-28,2020-10-29,5178.9,6,October,2020,2020-10-28,5.1789
Tropical Storm Eta,Tropical Cyclone,2020-11-08,2020-11-12,1737.5,12,November,2020,2020-11-10,1.7375
Western/Central Drought and Heat Wave,Drought,2020-06-01,2020-12-30,5349.3,45,August,2020,2020-09-15,5.3493
"Western Wildfires - California, Oregon, Washington Firestorms",Wildfire,2020-08-01,2020-12-30,19575.5,46,October,2020,2020-10-15,19.5755
California Flooding and Severe Weather,Flooding,2021-01-24,2021-01-29,1303.1,2,January,2021,2021-01-26,1.3031
"Northwest, Central, Eastern Winter Storm and Cold Wave",Winter Storm,2021-02-10,2021-02-19,26769.4,262,February,2021,2021-02-14,26.7694
Southeast Tornadoes and Severe Weather,Severe Storm,2021-03-24,2021-03-25,1962.3,6,March,2021,2021-03-24,1.9623
Eastern Severe Weather,Severe Storm,2021-03-27,2021-03-28,1575.1,8,March,2021,2021-03-27,1.5751
Texas Hail Storms,Severe Storm,2021-04-12,2021-04-15,1725.8,0,April,2021,2021-04-13,1.7258
Texas and Oklahoma Severe Weather,Severe Storm,2021-04-27,2021-04-28,3684.4,0,April,2021,2021-04-27,3.6844
Southern Tornadoes and Southeast Severe Weather,Severe Storm,2021-05-02,2021-05-04,1453.9,4,May,2021,2021-05-03,1.4539000000000002
Louisiana Flooding,Flooding,2021-05-17,2021-05-18,1543.3,5,May,2021,2021-05-17,1.5433
Ohio Valley Hail Storms,Severe Storm,2021-06-17,2021-06-18,1946.0,0,June,2021,2021-06-17,1.946
Central Severe Storms,Severe Storm,2021-06-24,2021-06-26,1428.3,0,June,2021,2021-06-25,1.4283
Tropical Storm Elsa,Tropical Cyclone,2021-07-07,2021-07-09,1382.8,1,July,2021,2021-07-08,1.3828
Central Severe Storms,Severe Storm,2021-07-08,2021-07-11,1231.2,0,July,2021,2021-07-09,1.2312
North Central Severe Weather,Severe Storm,2021-08-10,2021-08-13,1463.7,2,August,2021,2021-08-11,1.4637
Tropical Storm Fred,Tropical Cyclone,2021-08-16,2021-08-18,1455.8,7,August,2021,2021-08-17,1.4558
Hurricane Ida,Tropical Cyclone,2021-08-29,2021-09-01,83136.6,96,August,2021,2021-08-30,83.1366
Hurricane Nicholas,Tropical Cyclone,2021-09-14,2021-09-18,1148.2,0,September,2021,2021-09-16,1.1482
"Southeast, Central Tornado Outbreak",Severe Storm,2021-12-10,2021-12-10,4384.8,93,December,2021,2021-12-10,4.3848
Midwest Derecho and Tornado Outbreak,Severe Storm,2021-12-15,2021-12-15,1995.8,1,December,2021,2021-12-15,1.9958
Western Wildfires,Wildfire,2021-06-01,2021-12-31,11856.0,8,,,2021-09-15,11.856
Western Drought and Heat Wave,Drought,2021-01-01,2021-12-31,10032.9,229,,,2021-07-02,10.0329
Texas Hail Storms,Severe Storm,2022-02-21,2022-02-22,1098.7,0,February,2022,2022-02-21,1.0987
Southern Tornado Outbreak,Severe Storm,2022-03-30,2022-03-30,1356.5,2,March,2022,2022-03-30,1.3565
Southeast Tornado Outbreak,Severe Storm,2022-04-04,2022-04-06,1516.3,3,April,2022,2022-04-05,1.5163
Southern Severe Weather,Severe Storm,2022-04-11,2022-04-13,2862.3,1,April,2022,2022-04-12,2.8623000000000003
Southern and Central Severe Weather,Severe Storm,2022-05-01,2022-05-03,1207.4,1,May,2022,2022-05-02,1.2074
North Central Hail Storms,Severe Storm,2022-05-09,2022-05-09,2311.2,0,May,2022,2022-05-09,2.3112
North Central Severe Weather,Severe Storm,2022-05-11,2022-05-12,2895.5,1,May,2022,2022-05-11,2.8955
North Central Hail Storms,Severe Storm,2022-05-19,2022-05-19,2576.9,0,May,2022,2022-05-19,2.5769
Central Severe Weather,Severe Storm,2022-06-07,2022-06-08,2006.7,0,June,2022,2022-06-07,2.0067
Central Derecho,Severe Storm,2022-06-13,2022-06-13,3355.0,1,June,2022,2022-06-13,3.355
North Central and Eastern Severe Weather,Severe Storm,2022-07-22,2022-07-24,1407.2,1,July,2022,2022-07-23,1.4072
Kentucky and Missouri Flooding,Flooding,2022-07-26,2022-07-28,1538.3,42,July,2022,2022-07-27,1.5383
Hurricane Fiona,Tropical Cyclone,2022-09-17,2022-09-18,2635.5,25,September,2022,2022-09-17,2.6355
Hurricane Ian,Tropical Cyclone,2022-09-28,2022-09-30,117390.0,152,September,2022,2022-09-29,117.39
Hurricane Nicole,Tropical Cyclone,2022-11-10,2022-11-11,1060.8,5,November,2022,2022-11-10,1.0608
Western Wildfires,Wildfire,2022-04-01,2022-11-30,3265.7,17,July,2022,2022-07-31,3.2657
Central and Eastern Winter Storm and Cold Wave,Winter Storm,2022-12-21,2022-12-26,8782.8,87,December,2022,2022-12-23,8.7828
Western/Central Drought and Heat Wave,Drought,2022-01-01,2022-12-31,23061.5,136,,,2022-07-02,23.0615
Northeastern Winter Storm / Cold Wave,Winter Storm,2023-02-02,2023-02-05,1803.6,1,February,2023,2023-02-03,1.8035999999999999
Southern and Eastern Severe Weather,Severe Storm,2023-03-02,2023-03-03,6052.5,13,March,2023,2023-03-02,6.0525
California Flooding,Flooding,2022-12-26,2023-03-19,4680.0,22,,,2023-02-05,4.68
Southern and Eastern Severe Weather,Severe Storm,2023-03-24,2023-03-26,2899.6,23,April,2023,2023-03-25,2.8996
Central Tornado Outbreak and Eastern Severe Weather,Severe Storm,2023-03-31,2023-04-01,5797.1,33,March,2023,2023-03-31,5.7971
Central and Eastern Severe Weather,Severe Storm,2023-04-04,2023-04-06,2899.6,5,April,2023,2023-04-05,2.8996
Fort Lauderdale Flash Flood,Flooding,2023-04-12,2023-04-13,1122.0,0,April,2023,2023-04-12,1.122
Central and Southern Severe Weather,Severe Storm,2023-04-15,2023-04-15,1375.1,0,April,2023,2023-04-15,1.3751
Central Severe Weather,Severe Storm,2023-04-19,2023-04-20,3049.0,1,April,2023,2023-04-19,3.049
Southern Severe Weather,Severe Storm,2023-04-25,2023-04-27,1346.4,0,April,2023,2023-04-26,1.3464
Central Severe Weather,Severe Storm,2023-05-06,2023-05-08,2179.8,1,May,2023,2023-05-07,2.1798
Central and Eastern Tornadoes and Hail Storms,Severe Storm,2023-05-10,2023-05-12,3494.4,1,May,2023,2023-05-11,3.4944
Texas Hail Storms,Severe Storm,2023-05-18,2023-05-19,1657.5,0,May,2023,2023-05-18,1.6575
Typhoon Mawar,Tropical Cyclone,2023-05-24,2023-05-25,4335.0,2,May,2023,2023-05-24,4.335
Southern Severe Weather,Severe Storm,2023-06-11,2023-06-14,4112.5,0,June,2023,2023-06-12,4.1125
Central and Southern Severe Weather,Severe Storm,2023-06-15,2023-06-18,3843.3,5,June,2023,2023-06-16,3.8433
Rockies Hail Storms and Central and Eastern Severe Weather,Severe Storm,2023-06-21,2023-06-26,5348.9,8,June,2023,2023-06-23,5.3488999999999995
Central Severe Weather,Severe Storm,2023-06-28,2023-07-02,1957.3,3,June,2023,2023-06-30,1.9573
Northeastern Flooding and North Central Severe Weather,Flooding,2023-07-09,2023-07-15,2208.3,10,July,2023,2023-07-12,2.2083000000000004
North Central and Southeastern Severe Weather,Severe Storm,2023-07-19,2023-07-21,1868.7,1,July,2023,2023-07-20,1.8687
North Central and Eastern Severe Weather,Severe Storm,2023-07-28,2023-07-29,1511.6,2,July,2023,2023-07-28,1.5115999999999998
Hawaii Firestorm,Wildfire,2023-08-08,2023-08-08,5610.0,100,August,2023,2023-08-08,5.61
Northeastern and Eastern Severe Weather,Severe Storm,2023-08-05,2023-08-08,1663.6,4,August,2023,2023-08-06,1.6636
Minnesota Hail Storms,Severe Storm,2023-08-11,2023-08-11,1810.5,0,August,2023,2023-08-11,1.8105
Hurricane Idalia,Tropical Cyclone,2023-08-29,2023-08-31,3525.1,5,August,2023,2023-08-30,3.5251
Southern Hail Storms,Severe Storm,2023-09-23,2023-09-24,1677.9,0,September,2023,2023-09-23,1.6779000000000002
Southern/Midwestern Drought and Heatwave,Drought,2023-04-01,2023-09-30,14645.2,247,July,2023,2023-07-01,14.6452
East Coast Storm and Flooding,Flooding,2023-12-16,2023-12-18,1289.0,5,December,2023,2023-12-17,1.289
Southern Tornado Outbreak and East Coast Storm,Severe Storm,2024-01-08,2024-01-10,1764.7,3,January,2024,2024-01-09,1.7647
Central and Southern Severe Weather,Severe Storm,2024-03-13,2024-03-15,4092.0,3,March,2024,2024-03-14,4.092
