id,lat,lon,Name,Count
163,45.5178988,-122.6600522,SE Alder at 6th,4294
98,45.5315127,-122.6824564,,368
102,45.55335313,-122.6669146,N Mason at Williams,2941
144,45.5475928,-122.6667604,N Williams at Fremont,4735
103,45.5314262,-122.6875304,,21
105,45.5239044,-122.6702935,,93
602,45.5260135,-122.670676,,32
112,45.5252863,-122.6724697,,498
108,45.5209254,-122.6741073,,88
120,45.5231234,-122.6713456,,596
109,45.51184309,-122.68372,SW Broadway at Smith Memorial Student Union,3433
128,45.5193484,-122.653644,,532
113,45.5048393,-122.6296306,SE 34th at Division,3572
157,45.5088042,-122.6655893,,374
115,45.5024783,-122.6723477,,161
116,45.51782551,-122.6724963,SW Naito at Morrison,5649
173,45.5165284,-122.6607669,,29
118,45.55913676,-122.6554307,NE Alberta at 10th - Community Corral,735
119,45.51816567,-122.6924908,SW 18th at Jefferson,3584
130,45.5264914,-122.6842918,,807
199,45.5240259,-122.6505684,,36
122,45.511907,-122.6294804,SE 34th at Hawthorne,3430
143,45.5237627,-122.6774774,,314
359,45.5172159,-122.655687,,209
125,45.56274555,-122.6480594,NE 17th at Killingsworth - Community Corral,527
236,45.56453067,-122.6305372,NE 33rd at Jarrett (Kennedy School) - Community Corral,479
126,45.51186486,-122.6210475,SE 40th at Hawthorne,1566
940,45.5284672,-122.656532,,37
189,45.51158277,-122.682281,Urban Center Plaza at SW 6th St,2432
181,45.51147657,-122.6662856,SE Clay at Water,5917
325,45.5590672,-122.6419218,,38
129,45.5193552,-122.6556728,,71
139,45.5257661,-122.6536009,,60
629,45.5198656,-122.6758501,,111
133,45.52649493,-122.6416328,NE Glisan at 24th,3197
147,45.5255177,-122.6984635,,52
154,45.51844688,-122.651685,SE 14th at Stark,3141
132,45.5191991,-122.6762108,,223
134,45.53140997,-122.6574612,NE Multnomah at 9th,3224
136,45.5231391,-122.6723799,,749
265,45.5314628,-122.685491,,357
137,45.5290819,-122.6985965,,232
138,45.55458563,-122.6755413,N Mississippi at N Skidmore,2338
168,45.5027677,-122.6714408,Tilikum West at SW Moody,6434
156,45.5379577,-122.6886206,,360
166,45.5300616,-122.6844243,,1112
141,45.5120789,-122.6381592,,30
1789,45.5186777,-122.6657908,,15
151,45.5230046,-122.6801058,,192
142,45.5193586,-122.6566872,,333
148,45.5236962,-122.6811554,,156
149,45.5256856,-122.6893362,,134
150,45.50624163,-122.6633379,SE 2nd Pl at Tilikum Way,6110
152,45.5308296,-122.6814121,,109
153,45.5175793,-122.6725072,,160
170,45.51936283,-122.6359928,SE 29th at Stark,1113
155,45.5388948,-122.6901714,,98
159,45.5205931,-122.637238,SE 28th at Pine - Community Corral,923
160,45.55645437,-122.6603794,NE Going at Grand,2889
161,45.5160179,-122.6842822,,438
162,45.5555064,-122.6605467,,69
164,45.5136673,-122.6607821,,206
165,45.5287476,-122.6776586,,72
171,45.5229504,-122.6831526,,451
202,45.5230674,-122.6764857,,346
169,45.5236794,-122.6821551,,336
172,45.5644626,-122.6306698,,27
174,45.5229602,-122.6627544,,142
343,45.519382,-122.6637877,,1165
178,45.5350668,-122.6575995,,73
176,45.5129509,-122.6597725,,516
196,45.5120427,-122.6182826,,47
179,45.51507401,-122.6870298,SW 12th at Clay,2189
397,45.5193653,-122.6586964,,53
192,45.5120745,-122.6337819,,39
281,45.52771962,-122.6603526,Metro Campus - Community Corral,509
182,45.5115447,-122.6658674,,104
183,45.53290424,-122.68626,NW Pettygrove at 15th,2342
184,45.5533235,-122.6667569,,78
185,45.5218947,-122.6834357,,255
186,45.5152281,-122.6870389,,59
187,45.54471503,-122.6667845,N Morris at Williams,2272
188,45.5347847,-122.6988093,,123
190,45.55908767,-122.6407517,NE Alberta at 24th - Community Corral,360
191,45.5627419,-122.6889932,N Killingsworth at Gay - Community Corral,378
200,45.5128821,-122.6229264,,156
193,45.5197472,-122.6782504,,288
195,45.5229341,-122.6597069,,252
